Size,Merge sort,Quick sort,Heap sort
50,10.495000000000001,10.848000000000001,11.655000000000001
100,17.129000000000001,22.512000000000000,23.817000000000004
150,36.153000000000006,43.538000000000004,41.845000000000006
200,40.415000000000006,48.156000000000006,69.185999999999993
250,65.995000000000005,75.585000000000008,67.024000000000001
300,66.211000000000013,73.442000000000007,80.881000000000000
350,97.150000000000006,111.756000000000000,141.897000000000020
400,108.387000000000000,132.820000000000022,166.848999999999990
450,130.015000000000015,152.915000000000020,190.991000000000014
500,168.642000000000024,134.544000000000011,167.320999999999998
550,125.960000000000022,149.539000000000016,191.057000000000016
600,152.684000000000026,171.926000000000016,204.867999999999995
650,151.615000000000009,181.510999999999996,225.254000000000019
700,182.326999999999998,197.237000000000023,262.478000000000009
750,179.916000000000025,209.653000000000020,271.768000000000029
800,192.127000000000010,227.013000000000005,295.365000000000009
850,187.272000000000020,247.137000000000029,317.009999999999991
900,316.338999999999999,265.500000000000000,376.804000000000030
950,217.360000000000014,230.024000000000001,340.156000000000063
1000,224.805000000000007,256.944999999999993,355.529000000000053
1050,227.156000000000006,308.788999999999987,354.557000000000016
1100,230.632000000000005,282.401000000000010,406.245000000000005
1150,251.937999999999988,306.990000000000066,436.085000000000036
1200,301.996000000000038,433.674000000000035,542.856999999999971
1250,319.458000000000027,407.528999999999996,438.181000000000040
1300,286.201999999999998,397.016000000000020,439.619000000000028
1350,341.440000000000055,424.576000000000022,532.293000000000006
1400,363.930999999999983,458.725999999999999,573.131000000000085
1450,377.342000000000041,545.413000000000011,608.443000000000097
1500,404.144000000000005,631.327999999999975,783.160000000000082
1550,407.073000000000036,543.620000000000118,747.177999999999997
1600,413.278999999999996,504.410000000000082,687.197000000000116
1650,444.539000000000044,569.751000000000090,472.841999999999985
1700,417.130000000000052,529.639000000000010,518.490000000000009
1750,455.122000000000014,762.895999999999958,678.458000000000084
1800,483.431000000000040,786.225999999999999,498.377000000000066
1850,478.084000000000060,559.257000000000062,504.273000000000081
1900,521.264999999999986,606.799999999999955,823.571000000000026
1950,590.682000000000016,679.964000000000055,854.340000000000146
2000,583.627000000000066,958.467000000000098,910.581000000000017
2050,562.313000000000102,702.864000000000146,959.931000000000040
2100,641.806000000000040,1001.937000000000012,941.739000000000033
2150,660.286000000000058,990.020999999999958,960.501000000000090
2200,720.379000000000019,891.259000000000015,1118.935000000000173
