Size,Merge sort,Quick sort,Heap sort
6350,957.843000000000075,1123.197000000000116,1436.362000000000080
6400,1362.003000000000156,1095.432999999999993,1659.964000000000169
6450,981.317000000000007,1296.719000000000051,1427.273000000000138
6500,1051.320999999999913,1182.170000000000073,1441.803000000000111
6550,1305.430000000000064,1207.436999999999898,1204.091000000000122
6600,1115.465000000000146,1643.983999999999924,1249.369000000000142
6650,1189.515000000000100,1452.903999999999996,1758.442000000000007
6700,1075.022000000000162,1258.029999999999973,1449.660000000000082
6750,1210.287000000000035,1288.217000000000098,1279.230999999999995
6800,961.694000000000074,1635.386000000000195,1583.588000000000193
6850,1073.374000000000024,1377.662000000000035,1503.714000000000169
6900,1183.865999999999985,1387.771999999999935,1521.712999999999965
6950,1282.573000000000093,1462.247000000000071,1465.789999999999964
7000,1328.443000000000211,1610.932000000000016,1395.402000000000044
7050,1266.814000000000078,1566.117999999999938,1554.467000000000098
7100,1216.419000000000096,1348.620000000000118,1533.449000000000069
7150,1236.143000000000029,1321.279999999999973,1448.617999999999938
7200,1437.927000000000135,1487.762000000000171,1887.573000000000093
7250,1227.346000000000004,1479.413999999999987,1522.213999999999942
7300,1220.614000000000033,1536.746000000000095,1599.155999999999949
7350,1089.919000000000096,1333.276000000000067,1818.292000000000144
7400,1668.410000000000082,1580.515000000000100,1875.941000000000031
7450,1512.403000000000020,1536.926999999999907,1549.441000000000031
7500,1184.408999999999878,1553.714000000000169,1578.527000000000044
7550,1267.463000000000193,1877.029000000000224,1472.195000000000164
7600,1382.593000000000075,1573.707000000000107,1632.170000000000073
7650,1309.230000000000018,1592.594000000000051,1600.911000000000058
7700,1294.254000000000133,1382.078000000000202,2055.293000000000120
7750,1264.545000000000073,1627.754000000000133,1749.345000000000027
7800,1301.774000000000115,1557.880000000000109,1587.686000000000149
7850,1490.735000000000127,1573.205000000000155,1640.801000000000158
7900,1322.525000000000091,1938.238000000000056,1788.292000000000144
7950,1431.279999999999973,1519.511000000000195,1622.361000000000104
8000,1356.712000000000216,1612.847000000000207,1566.834000000000060
8050,1211.056000000000040,1426.817999999999984,1917.567000000000007
8100,1761.356999999999971,2066.518000000000484,2017.370000000000118
8150,1245.816000000000031,1681.805000000000291,1893.421000000000276
8200,1419.606999999999971,1528.060000000000173,1660.735000000000127
8250,1683.728000000000065,1633.690000000000055,2296.746000000000095
8300,1631.222000000000207,1670.135999999999967,1691.755000000000109
8350,1445.100000000000136,1504.533000000000129,1588.754000000000133
8400,2827.641999999999825,1697.480999999999995,2150.499000000000251
8450,2003.775000000000091,1717.956000000000131,2085.679000000000087
8500,1734.163999999999987,1865.969000000000051,2659.947999999999865
8550,3178.605000000000018,1946.081000000000131,2768.883000000000266
8600,2206.519000000000233,2600.372000000000298,1941.588000000000193
8650,2417.683000000000447,1600.913000000000011,2211.804000000000087
8700,1808.705000000000155,1646.798999999999978,1790.102000000000089
8750,1789.120000000000118,1736.381000000000085,1853.633000000000038
8800,2765.332000000000335,2071.804000000000087,2780.873000000000047
8850,2364.530000000000200,1979.113000000000284,2299.819000000000415
8900,1851.848999999999933,2526.326000000000022,2777.596000000000458
8950,2293.863000000000284,2259.122000000000298,2426.683000000000447
9000,1986.764000000000351,1794.845000000000255,2984.348000000000411
9050,1923.654999999999973,2329.813000000000102,2343.774000000000342
9100,2077.960000000000036,1772.012999999999920,1830.336999999999989
9150,2713.679000000000087,2071.261999999999716,2809.823000000000320
9200,2941.611000000000331,2288.616000000000440,2455.012000000000171
9250,1735.319999999999936,2910.367000000000189,2341.494000000000142
9300,2333.452999999999975,2328.229000000000269,3008.748000000000502
9350,2072.578000000000429,1939.488000000000056,2563.425000000000182
9400,2044.919000000000096,1963.819000000000415,2242.253000000000156
9450,1494.392000000000053,1863.009999999999991,2158.557999999999993
9500,2264.628000000000156,2818.668000000000120,2234.325000000000273
9550,2513.351000000000113,2127.125000000000000,3283.187000000000353
9600,2043.617000000000189,2368.449000000000524,2204.655999999999949
9650,2306.118000000000393,2224.970000000000255,2344.657000000000153
9700,2067.959000000000287,1884.090000000000146,2958.831000000000131
9750,1712.827999999999975,2092.472000000000207,2551.092000000000098
9800,1691.239000000000260,2078.121999999999844,2190.918999999999869
9850,1704.752000000000180,2422.877000000000407,2267.023000000000138
9900,2769.417000000000371,2089.678000000000338,2186.411999999999807
9950,2530.344000000000506,2241.975000000000364,2863.693999999999960
10000,1792.483999999999924,2221.592000000000098,2732.907999999999902
